#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Phosphate acetyltransferase (EC 2.3.1.8)	7	12	6	9	9.5	7.5
Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	8	8	7	8	8	7.5
Carbonic anhydrase (EC 4.2.1.1)	11	13	7	8	12	7.5
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	8	5	9	6	6.5	7.5
Malate synthase (EC 2.3.3.9)	7	11	6	9	9	7.5
Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	11	10	4	11	10.5	7.5
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	10	11	8	7	10.5	7.5
Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase	16	11	6	9	13.5	7.5
Sulfur carrier protein adenylyltransferase ThiF	8	12	7	8	10	7.5
GTP cyclohydrolase I (EC 3.5.4.16) type 1	10	8	7	8	9	7.5
L-aspartate oxidase (EC 1.4.3.16)	17	16	7	8	16.5	7.5
Ferric uptake regulation protein FUR	9	9	5	10	9	7.5
Formate dehydrogenase-O, major subunit (EC 1.2.1.2)	6	6	6	9	6	7.5
tRNA-i(6)A37 methylthiotransferase	9	14	8	7	11.5	7.5
DNA recombination protein RmuC	6	4	4	11	5	7.5
Topoisomerase IV subunit A (EC 5.99.1.-)	14	9	6	9	11.5	7.5
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	3	8	7	8	5.5	7.5
Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly	4	5	7	8	4.5	7.5
Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	12	8	6	9	10	7.5
Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	8	7	9	6	7.5	7.5
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	9	10	8	7	9.5	7.5
Magnesium and cobalt efflux protein CorC	4	6	10	5	5	7.5
Heat shock protein 60 family co-chaperone GroES	5	6	7	8	5.5	7.5
Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	9	7	7	8	8	7.5
Cytochrome c551/c552	10	11	6	9	10.5	7.5
rRNA small subunit methyltransferase I	7	9	8	7	8	7.5
Ribonuclease BN (EC 3.1.-.-)	14	17	7	8	15.5	7.5
Phosphoserine aminotransferase (EC 2.6.1.52)	15	11	8	6	13	7
Asparaginyl-tRNA synthetase (EC 6.1.1.22)	6	7	7	7	6.5	7
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	8	6	6	8	7	7
Phenylalanine-4-hydroxylase (EC 1.14.16.1)	5	4	5	9	4.5	7
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	3	4	10	4	3.5	7
3-dehydroquinate synthase (EC 4.2.3.4)	12	12	5	9	12	7
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	4	4	7	7	4	7
Heavy metal RND efflux outer membrane protein, CzcC family	5	6	8	6	5.5	7
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	2	3	8	6	2.5	7
Transketolase (EC 2.2.1.1)	7	7	6	8	7	7
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	4	4	6	8	4	7
Glucose 1-dehydrogenase (EC 1.1.1.47)	4	4	4	10	4	7
Gluconate dehydratase (EC 4.2.1.39)	12	8	7	7	10	7
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	14	10	6	8	12	7
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	3	3	8	6	3	7
NAD-dependent malic enzyme (EC 1.1.1.38)	2	4	8	6	3	7
Cell division protein FtsK	16	14	8	6	15	7
Circadian clock protein KaiC	3	2	4	10	2.5	7
Queuosine Biosynthesis QueC ATPase	6	6	8	6	6	7
Lipoate synthase	14	6	4	10	10	7
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	11	12	4	10	11.5	7
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	7	9	5	9	8	7
Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	8	7	7	7	7.5	7
Orotate phosphoribosyltransferase (EC 2.4.2.10)	7	7	5	9	7	7
ATP-dependent DNA helicase UvrD/PcrA	14	14	4	10	14	7
Ribonuclease HII (EC 3.1.26.4)	10	7	7	7	8.5	7
Phosphatidate cytidylyltransferase (EC 2.7.7.41)	6	7	9	5	6.5	7
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	2	7	9	5	4.5	7
ATP synthase F0 sector subunit a	7	8	5	9	7.5	7
IMP cyclohydrolase (EC 3.5.4.10)	5	10	6	8	7.5	7
Large-conductance mechanosensitive channel	4	5	8	6	4.5	7
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	11	14	9	5	12.5	7
Glutathione S-transferase family protein	11	9	7	7	10	7
Putative formate dehydrogenase oxidoreductase protein	8	7	6	8	7.5	7
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	8	9	7	7	8.5	7
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	9	11	3	11	10	7
RNA polymerase sigma factor RpoH	9	7	8	6	8	7
Heat-inducible transcription repressor HrcA	10	8	10	4	9	7
Transcriptional repressor, BlaI/MecI family	2	4	5	9	3	7
Phosphoserine phosphatase (EC 3.1.3.3)	12	14	6	7	13	6.5
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	4	3	4	9	3.5	6.5
N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	12	11	5	8	11.5	6.5
Spermidine synthase (EC 2.5.1.16)	2	2	8	5	2	6.5
4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	14	12	7	6	13	6.5
Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	10	9	4	9	9.5	6.5
Cystathionine beta-synthase (EC 4.2.1.22)	7	11	7	6	9	6.5
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	9	7	8	5	8	6.5
Pyruvate formate-lyase (EC 2.3.1.54)	6	10	6	7	8	6.5
Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	3	4	5	8	3.5	6.5
Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	6	7	8	5	6.5	6.5
Maltodextrin glucosidase (EC 3.2.1.20)	10	16	6	7	13	6.5
Phosphomannomutase (EC 5.4.2.8)	8	9	6	7	8.5	6.5
Cell division protein FtsA	12	10	3	10	11	6.5
Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	11	6	7	6	8.5	6.5
D-alanine--D-alanine ligase (EC 6.3.2.4)	6	5	10	3	5.5	6.5
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	11	16	3	10	13.5	6.5
Dephospho-CoA kinase (EC 2.7.1.24)	6	6	6	7	6	6.5
Queuosine biosynthesis QueD, PTPS-I	4	4	5	8	4	6.5
Ribonuclease D (EC 3.1.26.3)	11	7	7	6	9	6.5
Cyclic pyranopterin phosphate synthase (MoaA) (EC 4.1.99.18)	5	6	10	3	5.5	6.5
Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	4	5	9	4	4.5	6.5
ATP-dependent DNA ligase (EC 6.5.1.1)	4	5	6	7	4.5	6.5
DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3	5	5	8	4	6.5
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	8	6	8	5	7	6.5
DNA repair protein RecN	7	9	9	4	8	6.5
DNA recombination and repair protein RecF	12	9	4	9	10.5	6.5
Polyhydroxyalkanoic acid synthase	9	6	8	5	7.5	6.5
Flp pilus assembly protein RcpC/CpaB	3	3	7	6	3	6.5
Predicted ATPase with chaperone activity, associated with Flp pilus assembly	4	5	6	7	4.5	6.5
Type II/IV secretion system protein TadC, associated with Flp pilus assembly	8	8	5	8	8	6.5
transcriptional regulator, Crp/Fnr family	10	9	7	6	9.5	6.5
Allantoinase (EC 3.5.2.5)	2	4	7	6	3	6.5
ATP synthase gamma chain (EC 3.6.3.14)	7	8	5	8	7.5	6.5
Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	5	3	8	5	4	6.5
Phosphate starvation-inducible protein PhoH, predicted ATPase	8	13	7	6	10.5	6.5
Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	9	6	5	8	7.5	6.5
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	9	8	5	8	8.5	6.5
Putative diheme cytochrome c-553	6	6	7	6	6	6.5
3'-to-5' exoribonuclease RNase R	6	6	7	6	6	6.5
RNA polymerase sigma-70 factor	8	7	9	4	7.5	6.5
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	3	1	7	6	2	6.5
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	9	6	6	6	7.5	6
Ornithine carbamoyltransferase (EC 2.1.3.3)	6	7	4	8	6.5	6
Argininosuccinate lyase (EC 4.3.2.1)	10	9	7	5	9.5	6
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	9	7	6	6	8	6
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	9	9	8	4	9	6
Imidazolonepropionase (EC 3.5.2.7)	6	8	7	5	7	6
Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	9	12	6	6	10.5	6
Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	8	6	6	6	7	6
Alpha-mannosidase (EC 3.2.1.24)	2	2	9	3	2	6
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	5	8	7	5	6.5	6
Cyclomaltodextrin glucanotransferase (EC 2.4.1.19)	3	4	8	4	3.5	6
Triosephosphate isomerase (EC 5.3.1.1)	9	10	5	7	9.5	6
Chitinase (EC 3.2.1.14)	7	8	5	7	7.5	6
Ribose operon repressor	1	2	6	6	1.5	6
Glycerol kinase (EC 2.7.1.30)	8	13	5	7	10.5	6
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	7	6	7	5	6.5	6
L-lactate dehydrogenase (EC 1.1.2.3)	7	7	7	5	7	6
Acetyl-CoA synthetase (ADP-forming) alpha and beta chains, putative	9	9	9	3	9	6
Rod shape-determining protein RodA	7	9	5	7	8	6
DNA primase (EC 2.7.7.-)	8	8	7	5	8	6
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	11	7	6	6	9	6
Thiazole biosynthesis protein ThiG	9	6	9	3	7.5	6
NAD kinase (EC 2.7.1.23)	8	9	7	5	8.5	6
Aminobenzoyl-glutamate transport protein	3	4	5	7	3.5	6
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	9	8	5	7	8.5	6
Dihydroorotate dehydrogenase (EC 1.3.3.1)	9	6	8	4	7.5	6
DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	5	4	8	4	4.5	6
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	7	2	5	7	4.5	6
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	7	9	7	5	8	6
Ferrous iron transport protein B	11	14	8	4	12.5	6
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	1	2	6	6	1.5	6
Na+/H+ antiporter NhaA type	7	7	4	8	7	6
Twin-arginine translocation protein TatC	8	5	6	6	6.5	6
Thioredoxin	6	10	7	5	8	6
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	8	5	4	8	6.5	6
Nitrogen regulation protein NR(I)	4	4	7	5	4	6
Nitrous-oxide reductase (EC 1.7.99.6)	9	6	6	6	7.5	6
Nitric oxide-dependent regulator DnrN or NorA	4	4	6	6	4	6
Guanylate kinase (EC 2.7.4.8)	8	8	6	6	8	6
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	16	9	5	7	12.5	6
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	6	7	6	6	6.5	6
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	2	3	3	9	2.5	6
LSU ribosomal protein L16p (L10e)	7	7	9	3	7	6
GTP-binding protein HflX	9	9	7	5	9	6
Cytochrome c heme lyase subunit CcmF	12	10	6	6	11	6
Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA	4	4	8	4	4	6
Formate hydrogenlyase transcriptional activator	8	6	3	9	7	6
Alanine racemase (EC 5.1.1.1)	9	7	4	7	8	5.5
Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	2	6	5	6	4	5.5
Serine acetyltransferase (EC 2.3.1.30)	5	7	7	4	6	5.5
glutamine synthetase family protein	9	7	1	10	8	5.5
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	6	8	4	7	7	5.5
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	4	3	5	6	3.5	5.5
Formiminoglutamic iminohydrolase (EC 3.5.3.13)	4	2	6	5	3	5.5
Homoserine kinase (EC 2.7.1.39)	4	4	6	5	4	5.5
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	15	13	7	4	14	5.5
Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	6	6	2	9	6	5.5
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	5	4	6	5	4.5	5.5
Phosphogluconate dehydratase (EC 4.2.1.12)	12	10	5	6	11	5.5
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	6	4	5	6	5	5.5
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	10	16	5	6	13	5.5
Ribulokinase (EC 2.7.1.16)	3	2	5	6	2.5	5.5
Alpha-amylase (EC 3.2.1.1)	6	7	5	6	6.5	5.5
Aldehyde dehydrogenase B (EC 1.2.1.22)	9	6	5	6	7.5	5.5
Lactoylglutathione lyase (EC 4.4.1.5)	8	6	6	5	7	5.5
Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)	8	7	4	7	7.5	5.5
Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	7	12	3	8	9.5	5.5
Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	5	4	8	3	4.5	5.5
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	3	3	4	7	3	5.5
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	11	16	6	5	13.5	5.5
Acyl carrier protein	4	4	6	5	4	5.5
Choline dehydrogenase (EC 1.1.99.1)	9	11	7	4	10	5.5
Ferredoxin, 2Fe-2S	4	7	7	4	5.5	5.5
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	3	1	4	7	2	5.5
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	1	4	4	7	2.5	5.5
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	5	4	5	6	4.5	5.5
Single-stranded DNA-binding protein	11	11	4	7	11	5.5
Topoisomerase IV subunit B (EC 5.99.1.-)	10	13	6	5	11.5	5.5
DNA polymerase III epsilon subunit (EC 2.7.7.7)	10	7	3	8	8.5	5.5
Phosphatidylserine decarboxylase (EC 4.1.1.65)	7	6	7	4	6.5	5.5
MotA/TolQ/ExbB proton channel family protein	14	14	4	7	14	5.5
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	7	2	5	6	4.5	5.5
ATP synthase alpha chain (EC 3.6.3.14)	11	12	8	3	11.5	5.5
Cytochrome c552 precursor (EC 1.7.2.2)	2	3	5	6	2.5	5.5
Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	6	8	6	5	7	5.5
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	10	5	6	5	7.5	5.5
Peroxidase (EC 1.11.1.7)	9	8	6	5	8.5	5.5
Glutathione-regulated potassium-efflux system ATP-binding protein	11	5	5	6	8	5.5
Rhodanese-like domain protein	2	3	6	5	2.5	5.5
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	5	8	8	3	6.5	5.5
ATP-dependent hsl protease ATP-binding subunit HslU	8	7	4	7	7.5	5.5
TldE/PmbA family protein, Actinobacterial subgroup	7	6	7	4	6.5	5.5
LSU ribosomal protein L13p (L13Ae)	6	6	6	5	6	5.5
LSU ribosomal protein L1p (L10Ae)	4	7	5	6	5.5	5.5
LSU ribosomal protein L5p (L11e)	4	7	7	4	5.5	5.5
SSU ribosomal protein S2p (SAe)	9	8	4	7	8.5	5.5
SSU ribosomal protein S3p (S3e)	8	8	5	6	8	5.5
Thermosome subunit	1	0	3	8	0.5	5.5
Fe-S-cluster-containing hydrogenase components 1	2	2	7	4	2	5.5
Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	6	7	8	3	6.5	5.5
Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)	3	2	6	5	2.5	5.5
[NiFe] hydrogenase metallocenter assembly protein HypF	2	3	8	3	2.5	5.5
Putative preQ0 transporter	10	8	4	7	9	5.5
RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	2	2	6	5	2	5.5
Transcription elongation factor GreA	5	6	5	6	5.5	5.5
Ribonuclease PH (EC 2.7.7.56)	8	11	2	9	9.5	5.5
Diaminopimelate epimerase (EC 5.1.1.7)	11	8	4	6	9.5	5
Acetylglutamate kinase (EC 2.7.2.8)	10	14	3	7	12	5
Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	10	14	7	3	12	5
Electron transfer flavoprotein, alpha subunit	12	11	5	5	11.5	5
Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	13	7	4	6	10	5
Leucine dehydrogenase (EC 1.4.1.9)	6	5	5	5	5.5	5
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	13	10	6	4	11.5	5
Ketol-acid reductoisomerase (EC 1.1.1.86)	10	9	4	6	9.5	5
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	6	6	3	7	6	5
Chorismate synthase (EC 4.2.3.5)	8	11	5	5	9.5	5
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	8	4	6	4	6	5
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	3	5	7	3	4	5
Cyanophycinase (EC 3.4.15.6)	3	4	5	5	3.5	5
Aspartate ammonia-lyase (EC 4.3.1.1)	3	2	6	4	2.5	5
Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	2	5	6	4	3.5	5
Glycine cleavage system H protein	8	4	3	7	6	5
Glycine cleavage system transcriptional activator GcvA	12	6	4	6	9	5
Urocanate hydratase (EC 4.2.1.49)	10	11	5	5	10.5	5
Cystathionine gamma-synthase (EC 2.5.1.48)	8	6	6	4	7	5
L-Proline/Glycine betaine transporter ProP	7	4	2	8	5.5	5
Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	2	1	6	4	1.5	5
Tryptophan synthase alpha chain (EC 4.2.1.20)	8	4	6	4	6	5
Pyruvate decarboxylase (EC 4.1.1.1)	1	1	7	3	1	5
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	8	3	5	5	5.5	5
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	5	6	4	6	5.5	5
Alpha-glucosidase (EC 3.2.1.20)	8	9	6	4	8.5	5
Polygalacturonase (EC 3.2.1.15)	6	6	5	5	6	5
Ribokinase (EC 2.7.1.15)	6	5	3	7	5.5	5
Purine nucleoside phosphorylase (EC 2.4.2.1)	4	4	5	5	4	5
D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)	2	2	6	4	2	5
Alanine dehydrogenase (EC 1.4.1.1)	9	11	5	5	10	5
Xylose isomerase (EC 5.3.1.5)	7	8	6	4	7.5	5
UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	6	5	3	7	5.5	5
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	13	13	5	5	13	5
Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	5	7	4	6	6	5
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	10	6	5	5	8	5
Glutathione synthetase (EC 6.3.2.3)	9	9	5	5	9	5
Menaquinone via futalosine step 3	1	2	7	3	1.5	5
Niacin transporter NiaP	9	6	7	3	7.5	5
Nicotinamidase (EC 3.5.1.19)	2	2	4	6	2	5
tRNA pseudouridine synthase B (EC 4.2.1.70)	8	5	5	5	6.5	5
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	6	7	6	4	6.5	5
Rhodanese-related sulfurtransferase	1	2	4	6	1.5	5
DNA helicase (Rad25 homolog)	1	0	5	5	0.5	5
DNA repair protein RadA	10	4	5	5	7	5
DNA recombination and repair protein RecO	6	2	7	3	4	5
Archaeal DNA polymerase II large subunit (EC 2.7.7.7)	3	1	7	3	2	5
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	7	8	5	5	7.5	5
Ferric iron ABC transporter, iron-binding protein	3	2	4	6	2.5	5
Biopolymer transport protein ExbD/TolR	11	9	7	3	10	5
Type IV prepilin peptidase TadV/CpaA	3	4	3	7	3.5	5
Von Willebrand factor type A domain protein, associated with Flp pilus assembly	8	11	3	7	9.5	5
Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ	4	5	5	5	4.5	5
Isoquinoline 1-oxidoreductase alpha subunit (EC 1.3.99.16)	10	8	6	4	9	5
ATP synthase delta chain (EC 3.6.3.14)	9	6	4	6	7.5	5
Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)	8	8	6	4	8	5
Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent	7	8	4	6	7.5	5
Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	3	4	7	3	3.5	5
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	1	3	4	6	2	5
tmRNA-binding protein SmpB	4	6	5	5	5	5
Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	9	5	5	5	7	5
Tyrosyl-tRNA synthetase (EC 6.1.1.1)	4	3	4	6	3.5	5
Deoxyhypusine synthase (EC 2.5.1.46)	5	7	5	5	6	5
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	7	11	6	4	9	5
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	4	5	3	7	4.5	5
SSU ribosomal protein S5p (S2e)	5	6	5	5	5.5	5
LSU ribosomal protein L2p (L8e)	7	7	6	4	7	5
SSU ribosomal protein S4p (S9e)	9	8	7	3	8.5	5
SSU ribosomal protein S8p (S15Ae)	5	4	5	5	4.5	5
Peptide deformylase (EC 3.5.1.88)	7	8	5	5	7.5	5
Membrane-associated zinc metalloprotease	8	6	6	4	7	5
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	7	5	2	8	6	5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	6	6	4	6	6	5
putative Cytochrome bd2, subunit I	4	5	5	5	4.5	5
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	7	7	5	4	7	4.5
Threonine dehydratase, catabolic (EC 4.3.1.19)	10	8	5	4	9	4.5
Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)	2	6	6	3	4	4.5
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	3	3	3	6	3	4.5
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnH	3	3	5	4	3	4.5
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	11	10	2	7	10.5	4.5
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	0	1	6	3	0.5	4.5
Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	7	8	4	5	7.5	4.5
Kynureninase (EC 3.7.1.3)	7	10	6	3	8.5	4.5
Urease alpha subunit (EC 3.5.1.5)	2	3	5	4	2.5	4.5
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	1	4	6	3	2.5	4.5
Altronate dehydratase (EC 4.2.1.7)	1	2	6	3	1.5	4.5
Glucokinase (EC 2.7.1.2)	15	18	5	4	16.5	4.5
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	5	4	2	7	4.5	4.5
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	6	5	6	3	5.5	4.5
Predicted maltose transporter MalT	5	4	2	7	4.5	4.5
Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	9	7	4	5	8	4.5
Particulate methane monooxygenase C-subunit (EC 1.14.13.25)	1	1	6	3	1	4.5
Phosphoglucosamine mutase (EC 5.4.2.10)	7	2	5	4	4.5	4.5
UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-)	3	2	6	3	2.5	4.5
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	10	10	3	6	10	4.5
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	6	7	6	3	6.5	4.5
Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	3	3	3	6	3	4.5
Thiamine-monophosphate kinase (EC 2.7.4.16)	11	9	2	7	10	4.5
Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	11	5	4	5	8	4.5
Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	7	3	3	6	5	4.5
Dihydroneopterin aldolase (EC 4.1.2.25)	6	6	5	4	6	4.5
Thymidine kinase (EC 2.7.1.21)	8	8	2	7	8	4.5
DNA ligase (EC 6.5.1.2)	8	13	6	3	10.5	4.5
Fumarylacetoacetate hydrolase family protein	8	6	5	4	7	4.5
Hypothetical protein (associated with DNA helicase - Rad25 homolog)	1	1	4	5	1	4.5
DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	6	4	4	5	5	4.5
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	5	7	3	6	6	4.5
Outer membrane receptor proteins, mostly Fe transport	12	8	2	7	10	4.5
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	2	4	4	5	3	4.5
Na+/H+ antiporter NhaD type	4	2	3	6	3	4.5
Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB	2	3	4	5	2.5	4.5
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	8	11	4	5	9.5	4.5
Phosphate transport system regulatory protein PhoU	7	8	3	6	7.5	4.5
Phosphate-specific outer membrane porin OprP	6	4	3	6	5	4.5
Potassium uptake protein TrkH	3	3	3	6	3	4.5
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	5	3	3	6	4	4.5
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	4	6	4	5	5	4.5
SSU ribosomal protein S15p (S13e)	7	5	5	4	6	4.5
SSU ribosomal protein S7p (S5e)	6	6	3	6	6	4.5
Death on curing protein, Doc toxin	3	4	5	4	3.5	4.5
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	8	8	5	4	8	4.5
Transcription initiation factor B	2	1	4	5	1.5	4.5
Aquaporin Z	4	7	6	3	5.5	4.5
Mercuric ion reductase (EC 1.16.1.1)	2	2	5	4	2	4.5
Macrolide-specific efflux protein MacA	3	1	4	5	2	4.5
